frequency_hz,amplitude
0.0,0.2068379521369934
0.0,0.08173184096813202
0.0,0.03165750950574875
0.0,0.03163183480501175
0.0,0.20632976293563843
0.0,0.41297096014022827
0.0,0.4877151548862457
0.0,0.6398821473121643
0.0,0.6383262276649475
0.0,0.5938319563865662
0.0,0.4395463466644287
0.0,0.3845243752002716
0.0,0.47798141837120056
0.0,0.5273498296737671
0.0,0.5589665770530701
0.0,0.5710664987564087
0.0,0.5813909769058228
0.0,0.669023871421814
0.0,0.6826935410499573
53.82064437866211,0.6572403907775879
53.8415641784668,0.6543024778366089
53.849788665771484,0.0592140331864357
53.86149978637695,0.37827959656715393
53.86333084106445,0.5580176115036011
53.863563537597656,0.5028280019760132
53.86465835571289,0.6371995806694031
53.86469650268555,0.6036133766174316
53.86508560180664,0.5583070516586304
53.8651237487793,0.6035404205322266
53.86561584472656,0.5581421852111816
53.86723327636719,0.6964803338050842
53.86784744262695,0.621666669845581
53.870513916015625,0.7096563577651978
53.870582580566406,0.6373596787452698
53.87068557739258,0.5627428293228149
53.87110137939453,0.487393319606781
53.87139892578125,0.5884459018707275
53.871788024902344,0.5891286730766296
53.87185287475586,0.6218491792678833
53.87195587158203,0.6386264562606812
53.87201690673828,0.7860016822814941
53.87205505371094,0.7257695198059082
53.872108459472656,0.7064372897148132
54.98248291015625,0.7202211618423462
54.99839782714844,0.7216244339942932
55.010498046875,0.7197433114051819
55.01225662231445,0.7207285165786743
55.2203254699707,0.7199782729148865
56.05855941772461,0.7315457463264465
56.83176040649414,0.7476980090141296
56.99580383300781,0.7410532832145691
57.61756896972656,0.7524225115776062
57.93529510498047,0.7524954080581665
58.03011703491211,0.7640607357025146
58.911285400390625,0.7601622939109802
58.97769546508789,0.7723389267921448
59.002769470214844,0.7598159909248352
59.004417419433594,0.8549577593803406
59.0045051574707,0.7612611055374146
59.05305099487305,0.7616955041885376
60.34687042236328,0.7881128191947937
61.148075103759766,0.7793600559234619
61.528987884521484,0.7699856162071228
62.04754638671875,0.8030078411102295
63.04368209838867,0.7932801842689514
64.0451431274414,0.8160471320152283
64.90814971923828,0.8009127378463745
66.00199890136719,0.8231600522994995
66.01538848876953,0.8121944069862366
67.2716064453125,0.8187365531921387
68.02643585205078,0.8322402238845825
69.0068130493164,0.829251766204834
69.02281951904297,0.8154703974723816
69.08662414550781,0.9058571457862854
69.48137664794922,0.847486138343811
70.0269775390625,0.8311505317687988
71.00032806396484,0.8387259840965271
71.01783752441406,0.8380711674690247
71.0215835571289,0.839506208896637
71.98995208740234,0.8439902067184448
72.03009033203125,0.8435335159301758
72.06903839111328,0.8473807573318481
72.97769927978516,0.8453762531280518
72.99688720703125,0.856238603591919
74.01582336425781,0.8501440286636353
74.97705078125,0.855213463306427
75.0046157836914,0.8613077402114868
76.00276947021484,0.8627905249595642
76.00857543945312,0.8577393889427185
76.99738311767578,0.8604446649551392
77.01349639892578,0.8672300577163696
78.00373077392578,0.8692836165428162
78.96842956542969,0.8368151783943176
78.99497985839844,0.9256714582443237
