8.998833072837442e-05,9.109899110626429e-05,9.034743561642244e-05,8.654317207401618e-05,7.939884380903095e-05,6.96032220730558e-05,5.8342309785075486e-05,4.688966873800382e-05
3.6408215237315744e-05,2.77924718830036e-05,2.1489935534191318e-05,1.7477552319178358e-05
1.5463745512533933e-05,1.5117446309886873e-05,1.623913885850925e-05,1.890228122647386e-05
2.346949440834578e-05
3.037365422642324e-05,3.976346488343552e-05,5.1345632527954876e-05,6.457985000452027e-05,7.885818195063621e-05,9.332929039373994e-05,0.00010654433572199196,0.0001164692803286016,0.00012118693121010438,0.00011973567598033696,0.0001123516631196253,0.00010016294982051477,8.478452218696475e-05,6.795307126594707e-05,5.1152142987120897e-05,3.548117820173502e-05
2.185144148825202e-05,1.112564768845914e-05,3.969074441556586e-06,5.147350634615577e-07,1.739848727311255e-07,1.8682607105802163e-06,4.513998646871187e-06
7.313517926377244e-06,9.71389908954734e-06,1.1297795026621316e-05,1.1831193660327699e-05
1.138538482337026e-05,1.0265038326906506e-05,8.910612450563349e-06,7.810439456079621e-06
7.056966751406435e-06,6.181016942718998e-06,4.8930874072539154e-06,3.723713916770066e-06
3.4901261187769705e-06,4.6964942157501355e-06,7.371212177531561e-06,1.0633754754962865e-05
1.3361711353354622e-05,1.5627369066351093e-05,1.847116436692886e-05,2.243072958663106e-05
2.699399738048669e-05,3.155077502015047e-05,3.63710532838013e-05
4.2054503865074366e-05,4.814482235815376e-05,5.2957984735257924e-05,5.5378051911247894e-05
5.657043948303908e-05,5.903071360080503e-05,6.398497498594224e-05,7.015212759142742e-05,7.488572737202048e-05,7.659907714696601e-05,7.587822619825602e-05,7.409608224406838e-05
7.181312685133889e-05,6.871218647575006e-05,6.440053402911872e-05,5.905664147576317e-05,5.335871173883788e-05,4.800994793185964e-05,4.357709622127004e-05,4.043311855639331e-05,3.840481804218143e-05,3.6548641219269484e-05,3.373113941051997e-05
2.9916684070485644e-05,2.6665282348403707e-05,2.6009156499640085e-05,2.9123320928192697e-05
3.5687044146470726e-05,4.384004569146782e-05,5.109044286655262e-05,5.5404358136001974e-05
5.5944710766198114e-05,5.377659181249328e-05,5.112060171086341e-05,4.8871115723159164e-05
4.5743599912384525e-05,4.077431367477402e-05,3.573251160560176e-05,3.3796921343309805e-05
3.643278978415765e-05,4.2097148252651095e-05,4.74041371489875e-05,5.0503389502409846e-05
5.3117822972126305e-05,5.7635650591691956e-05,6.340991239994764e-05
6.678765203105286e-05,6.44000101601705e-05,5.6499608035665005e-05,4.608719973475672e-05
3.554091017576866e-05,2.5556975742802024e-05,1.6257043171208352e-05,8.318985237565357e-06,2.8624822334677447e-06,3.498743978980201e-07,8.782414084862467e-08,8.898429086912074e-07
2.072768893413013e-06,3.6115282000537263e-06,5.370686722017126e-06,6.396678145392798e-06
5.748766398028238e-06,3.964821189583745e-06,2.312090600753436e-06,1.3431649676931556e-06,9.593117056283518e-07,9.90811258816393e-07,1.3974699868413154e-06
2.182708840337e-06,3.3253434139624005e-06,4.946286480844719e-06,7.47978629078716e-06
1.1522346540004946e-05,1.7394586393493228e-05,2.473948734404985e-05,3.2294137781718746e-05
3.832889342447743e-05,4.209466351312585e-05,4.43792887381278e-05,4.6257293433882296e-05
4.7794252168387175e-05,4.852514757658355e-05,4.878515028394759e-05,4.938575511914678e-05
5.0347829528618604e-05,5.087109457235783e-05,-0.007131585385650396,-0.007195342797785997
-0.007425147108733654,-0.007798530161380768,-0.0081946961581707
-0.008526220917701721,-0.008817631751298904,-0.009143741801381111,-0.009532532654702663,-0.009937185794115067,-0.010266462340950966,-0.010421732440590858,-0.01032651774585247
-0.00997606385499239,-0.009437983855605125,-0.008768852800130844,-0.007979716174304485
-0.007090929429978132,-0.006175368092954159,-0.005355158820748329,-0.004768285434693098
-0.0045018503442406654,-0.004522073548287153,-0.00468883803114295,-0.004867182578891516
-0.005025949329137802,-0.005226445849984884,-0.005507112946361303
-0.005821065045893192,-0.0060956948436796665,-0.006295591127127409,-0.006440140772610903
-0.006575553212314844,-0.006739798933267593,-0.006956950761377811,-0.007208043709397316
-0.007402032148092985,-0.0074111083522439,-0.007162768859416246,-0.006694909650832415
-0.0060929046012461185,-0.005408235359936953,-0.004659358412027359,-0.003865150734782219
-0.003049134276807308,-0.002223092596977949,-0.0014001796953380108,-0.0006301889661699533
1.4714431017637253e-05,0.0004981373203918338,0.0008455492206849158
0.001116191386245191,0.001346828998066485,0.0015144129283726215,0.001558445394039154
0.0014504267601296306,0.001245414838194847,0.0010486075188964605,0.0009270879672840238,0.0008668663795106113,0.0008305051596835256,0.0008500242256559432,0.0010054296581074595
0.0013111528242006898,0.0016919985646381974,0.0020850361324846745,0.002528849057853222
0.003113481681793928,0.003855874063447118,0.004657744895666838,0.0053747789934277534,0.0059295957908034325,0.006361689884215593,0.006754853297024965
0.007130191195756197,0.007432975340634584,0.0076278760097920895,0.007776780519634485
0.007985172793269157,0.008286561816930771,0.008617345243692398,0.008891952224075794
0.009073127061128616,0.009169816970825195,0.009180614724755287,0.0090560307726264
0.008729871362447739,0.008194269612431526,0.007520412094891071,0.0067927115596830845
0.006050257943570614,0.005297976545989513,0.004556525964289904,0.00389223825186491
0.0034029120579361916,0.0031767464242875576,0.0032515530474483967
0.0035996155347675085,0.004144599195569754,0.004787167999893427,0.0054472386837005615
0.006106499116867781,0.006777020171284676,0.007426856551319361,0.007953528314828873,0.008247106336057186
0.008283430710434914,0.00812455452978611,0.007845776155591011,0.007479751016944647
0.007025387138128281,0.006524669472128153,0.006100426893681288,0.005892869550734758
0.0059591117314994335,0.006218329071998596,0.006527959369122982,0.00682736374437809
0.007160180248320103,0.007570535875856876,0.007996790111064911,0.008251190185546875
0.008128993213176727,0.00755327008664608,0.006609691772609949,0.005452412646263838
0.0041825599037110806,0.002836514264345169,0.0014811637811362743,0.00026696640998125076,-0.0006282805115915835,-0.0011148552875965834,-0.0012537423754110932,-0.0011906253639608622
-0.0010400452883914113,-0.0008242611074820161,-0.0005116087850183249,-0.00011446891585364938,0.0002748163533397019,0.0005260785692371428,0.0005365997785702348,0.00028990322607569396
-0.00014115238445810974
-0.0006583402864634991,-0.0012295205378904939,-0.0019146096892654896,-0.0027736600022763014
-0.0037673115730285645,-0.0047574592754244804,-0.005599202588200569,-0.0062384093180298805
-0.006709107663482428,-0.007051859982311726,-0.007256016600877047,-0.007261410355567932
-0.007027478888630867,-0.006604405585676432,-0.006120010744780302,-0.005724472925066948
-0.0055336859077215195,-0.005591561086475849,-0.005889615043997765,-0.0064067598432302475
-0.007123785093426704,-0.008005533367395401,-0.008973199874162674
-0.009921398013830185,-0.010751958936452866,-0.011368055827915668,-0.011687204241752625
-0.011684845201671124,-0.011387195438146591,-0.010823697783052921,-0.010011286474764347
-0.008986643515527248,-0.007832718081772327,-0.006676694378256798,-0.005675781052559614
-0.004957693163305521,-0.004556835163384676,-0.004434972535818815,-0.004547763615846634
-0.004883220419287682,-0.005446869879961014,-0.0062074363231658936,-0.007070534862577915
-0.007915511727333069,-0.008645673282444477,-0.009211251512169838
-0.009594672359526157,-0.009774464182555676,-0.009731924161314964,-0.009497474879026413
-0.009152088314294815,-0.008767078630626202,-0.008357127197086811,-0.00790637731552124
-0.007426641881465912,-0.006966672837734222,-0.006569340825080872,-0.006234386470168829,-0.005920313764363527,-0.0055717602372169495,-0.005143402144312859,-0.004603747744113207
-0.003923893440514803,-0.0030688070692121983,-0.002020013751462102,-0.0008206435013562441,0.0004250219790264964,0.0015985860954970121,0.0026068841107189655
0.0033927629701793194,0.003924141637980938,0.004197671078145504,0.004245017655193806
0.004116306081414223,0.003868396859616041,0.003550098743289709,0.0031933600548654795
0.0028279677499085665,0.0024859008844941854,0.002195548266172409,0.001979332184419036
0.0018626826349645853,0.0018917302368208766,0.002127030398696661,0.0026110862381756306
0.00333132641389966,0.004207949619740248,0.005134560167789459,0.006028716452419758
0.006835243199020624,0.0075083584524691105,0.00800563208758831
0.008297031745314598,0.008384771645069122,0.008297000080347061,0.008060356602072716
0.007706610951572657,0.00730289937928319,0.006953009869903326,0.006755869835615158
0.006748149171471596,0.006889450363814831,0.007109990809112787,0.007367089856415987
0.00765698216855526,0.007961282506585121,0.008193746209144592,0.008233185857534409
0.00800669752061367,0.007540922146290541,0.006938701029866934,0.0063117025420069695
0.005743915680795908,0.0053025828674435616,0.005058044567704201
0.0050681279972195625,0.0053305537439882755,0.005768229253590107,0.006278411019593477
0.006788269616663456,0.007250999100506306,0.00761146517470479,0.007814999669790268
0.007843577302992344,0.007724669296294451,0.00751311844214797,0.007262649480253458,0.007001766003668308,0.006721859332174063,0.006390039809048176,0.005996474530547857,0.005584675818681717,0.00521773099899292,0.004926192108541727,0.004704934079200029,0.004551505204290152,0.004484680015593767,0.0045191505923867226
0.004636568482965231,0.004791366867721081,0.004940284416079521,0.005045198369771242
0.005050117149949074,0.004891198594123125,0.004528299905359745,0.003959351684898138
0.003219920676201582,0.0023653858806937933,0.0014487805310636759,0.0005186746129766107
-0.0003680072259157896,-0.0011397002963349223,-0.0017300047911703587,-0.002113152062520385
-0.002316805999726057,-0.002399783581495285,-0.0024168742820620537,-0.002401827834546566
-0.002373887225985527,-0.0023513883352279663,-0.0023662149906158447
-0.002459969837218523,-0.002656636293977499,-0.00294798007234931,-0.003305866150185466
-0.003708642441779375,-0.00416168849915266,-0.004680781625211239,-0.005254226736724377
